#,id,compound,pubchem_cid,cas,smiles,inchikey,chebi,vendor_crosscheck,hayashi_sds_mapping,stereo_tautomer_policy,final_structure_source
18,butyric-acid,Butyric acid,264,107-92-6,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,CHEBI:30772,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SAKE-18; WINE-P-12; BEER-06,none/unspecified; no wedge,LOCK: PubChem CID 264 + CHEBI:30772 + CAS/vendor concordance -> RDKit
19,isovaleric-acid,Isovaleric acid,10430,503-74-2,CC(C)CC(=O)O,GWYFCOCPABKNJV-UHFFFAOYSA-N,CHEBI:28484,Fisher/TCI America: isovaleric acid / CAS 503-74-2 concordant; artwork not reused,SAKE-19; WINE-P-13,none/unspecified; no wedge,LOCK: PubChem CID 10430 + CHEBI:28484 + CAS/vendor concordance -> RDKit
20,linalool,Linalool,6549,78-70-6,CC(=CCCC(C)(C=C)O)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N,CHEBI:17580,TCI/Sigma/Fisher generic linalool / CAS 78-70-6 concordant; enantiomer not inferred from artwork,SHOCHU-05; WINE-S-03; BEER-14,Hayashi SDS WAS-03 uses generic Linalool + CAS 78-70-6 with no R/S designation; render stereo-unspecified (no wedge),LOCK-NO-WEDGE: PubChem CID 6549 + CHEBI:17580 + Hayashi SDS WAS-03/BC-05 + beer MC-14; generic CAS 78-70-6 has no R/S designation -> RDKit
21,beta-damascenone,β-Damascenone,5366074,23726-93-4,C/C=C/C(=O)C1=C(C=CCC1(C)C)C,POIARNZEYGURDG-FNORWQNLSA-N,CHEBI:67251,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SHOCHU-06; WINE-S-06,preserve E/trans,LOCK: PubChem CID 5366074 + CHEBI:67251 + CAS/vendor concordance -> RDKit
22,vanillin,Vanillin,1183,121-33-5,COC1=C(C=CC(=C1)C=O)O,MWOOGOJBHIARFG-UHFFFAOYSA-N,CHEBI:18346,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SHOCHU-07; WINE-P-19,none/unspecified; no wedge,LOCK: PubChem CID 1183 + CHEBI:18346 + CAS/vendor concordance -> RDKit
23,edmp,"2-Ethyl-3,5-dimethylpyrazine",26334,13925-07-0,CCC1=NC=C(N=C1C)C,JZBCTZLGKSYRSF-UHFFFAOYSA-N,CHEBI:193645,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SHOCHU-09,none/unspecified; no wedge,LOCK: PubChem CID 26334 + CHEBI:193645 + CAS/vendor concordance -> RDKit
24,furfural,Furfural,7362,98-01-1,C1=COC(=C1)C=O,HYBBIBNJHNGZAN-UHFFFAOYSA-N,CHEBI:34768,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SHOCHU-10,none/unspecified; no wedge,LOCK: PubChem CID 7362 + CHEBI:34768 + CAS/vendor concordance -> RDKit
25,ethyl-laurate,Ethyl laurate / ethyl dodecanoate,7800,106-33-2,CCCCCCCCCCCC(=O)OCC,MMXKVMNBHPAILY-UHFFFAOYSA-N,CHEBI:87427,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,SHOCHU-18,none/unspecified; no wedge,LOCK: PubChem CID 7800 + CHEBI:87427 + CAS/vendor concordance -> RDKit
26,octenol,1-Octen-3-ol,18827,3391-86-4,CCCCCC(C=C)O,VSMOENVRRABVKN-UHFFFAOYSA-N,CHEBI:34118,TCI/Wako/Fisher 1-Octen-3-ol / CAS 3391-86-4 concordant; artwork not reused,SHOCHU-19,Hayashi SDS BC-19 uses generic 1-Octen-3-ol + CAS 3391-86-4 with no R/S designation; render C3 stereo-unspecified (no wedge),LOCK-NO-WEDGE: PubChem CID 18827 + CHEBI:34118 + Hayashi SDS BC-19; generic CAS 3391-86-4 has no R/S designation -> RDKit
27,furaneol,Furaneol / HDMF,19309,3658-77-3,CC1C(=O)C(=C(O1)C)O,INAXVXBDKKUCGI-UHFFFAOYSA-N,CHEBI:76247,TCI D1569: Furaneol / CAS 3658-77-3 concordant; artwork not reused,WINE-S-01,"Hayashi WINE-S-01 names 4-hydroxy-2,5-dimethyl-3(2H)-furanone; lock conventional 3(2H)-furanone tautomer from PubChem/ChEBI; no wedge","LOCK-TAUTOMER: Hayashi WINE-S-01 explicitly names 4-hydroxy-2,5-dimethyl-3(2H)-furanone + SDS WAS-01 CAS 3658-77-3; PubChem CID 19309/CHEBI:76247 graph -> RDKit"
28,ibmp,2-Isobutyl-3-methoxypyrazine,32594,24683-00-9,CC(C)CC1=NC=CN=C1OC,UXFSPRAGHGMRSQ-UHFFFAOYSA-N,CHEBI:229442,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-02,none/unspecified; no wedge,LOCK: PubChem CID 32594 + CHEBI:229442 + CAS/vendor concordance -> RDKit
29,3mh,3-Mercaptohexan-1-ol / 3MH,521348,51755-83-0,CCCC(CCO)S,TYZFMFVWHZKYSE-UHFFFAOYSA-N,CHEBI:77690,TCI M2168: 3-Mercapto-1-hexanol / CAS 51755-83-0 concordant; artwork not reused,WINE-S-04,Hayashi WINE-S-04 names generic 3-mercaptohexanol; CAS 51755-83-0/J-GLOBAL record is stereo-unspecified; render C3 without wedge,LOCK-NO-WEDGE: PubChem CID 521348 + CHEBI:77690 + TCI M2168 + Hayashi WINE-S-04 + J-GLOBAL generic CAS 51755-83-0; no enantiomer designation -> RDKit
30,beta-ionone,β-Ionone (E/trans),638014,79-77-6; 14901-07-6,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,PSQYTAPXSHCGMF-BQYQJAHWSA-N,CHEBI:32325,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-05,preserve E/trans; PubChem carries multiple CAS cross-references,LOCK: PubChem CID 638014 + CHEBI:32325 + CAS/vendor concordance -> RDKit
31,tdn,TDN,121677,30364-38-6,CC1=CC2=C(C=C1)C(CC=C2)(C)C,RTUMCNDCAVLXEP-UHFFFAOYSA-N,CHEBI:89773,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-07,none/unspecified; no wedge,LOCK: PubChem CID 121677 + CHEBI:89773 + CAS/vendor concordance -> RDKit
32,4vp,4-Vinylphenol,62453,2628-17-3,C=CC1=CC=C(C=C1)O,FUGYGGDSWSUORM-UHFFFAOYSA-N,CHEBI:1883,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-12,none/unspecified; no wedge,LOCK: PubChem CID 62453 + CHEBI:1883 + CAS/vendor concordance -> RDKit
33,4eg,4-Ethylguaiacol,62465,2785-89-9,CCC1=CC(=C(C=C1)O)OC,CHWNEIVBYREQRF-UHFFFAOYSA-N,CHEBI:179252,Thermo Fisher: 4-ethylguaiacol / CAS 2785-89-9 concordant; artwork not reused,WINE-S-13,none/unspecified; no wedge,LOCK: PubChem CID 62465 + CHEBI:179252 + CAS/vendor concordance -> RDKit
34,2ap,2-Acetyl-1-pyrroline,522834,85213-22-5,CC(=O)C1=NCCC1,DQBQWWSFRPLIAX-UHFFFAOYSA-N,CHEBI:67125,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-14,PubChem connectivity locked; inspect canonical imine/ring depiction after RDKit,LOCK-CONNECTIVITY: PubChem CID 522834 + CHEBI:67125 -> RDKit; canonical ring/imine depiction visually inspected
35,so2,Sulfur dioxide,1119,7446-09-5,O=S=O,RAHZWNYVWXNFOC-UHFFFAOYSA-N,CHEBI:18422,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-15,small inorganic; retain O=S=O,LOCK-CONNECTIVITY: PubChem CID 1119 + CHEBI:18422 -> RDKit; dedicated small-molecule scale
36,eugenol,Eugenol,3314,97-53-0,COC1=C(C=CC(=C1)CC=C)O,RRAFCDWBNXTKKO-UHFFFAOYSA-N,CHEBI:4917,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-S-17,none/unspecified; no wedge,LOCK: PubChem CID 3314 + CHEBI:4917 + CAS/vendor concordance -> RDKit
37,hexadienol,"trans,trans-2,4-Hexadien-1-ol",641256,17102-64-6,C/C=C/C=C/CO,MEIRRNXMZYDVDW-MQQKCMAXSA-N,CHEBI:142625,"Thermo Scientific/Fisher: trans,trans-2,4-hexadien-1-ol / CAS 17102-64-6 concordant",WINE-P-01,"preserve E,E",LOCK: PubChem CID 641256 + CHEBI:142625 + CAS/vendor concordance -> RDKit
38,cis3hexenol,cis-3-Hexen-1-ol,5281167,928-96-1,CC\C=C/CCO,UFLHIIWVXFIJGU-ARJAWSKDSA-N,CHEBI:28857,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-02,preserve Z/cis,LOCK: PubChem CID 5281167 + CHEBI:28857 + CAS/vendor concordance -> RDKit
39,geraniol,Geraniol,637566,106-24-1,CC(=CCC/C(=C/CO)/C)C,GLZPCOQZEFWAFX-JXMROGBWSA-N,CHEBI:17447,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-03; BEER-13,preserve geraniol E/trans identity,LOCK: PubChem CID 637566 + CHEBI:17447 + CAS/vendor concordance -> RDKit
40,isobutanol,Isobutanol,6560,78-83-1,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CHEBI:46645,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-05,none/unspecified; no wedge,LOCK: PubChem CID 6560 + CHEBI:46645 + CAS/vendor concordance -> RDKit
41,h2s,Hydrogen sulfide,402,7783-06-4,[H][S][H],RWSOTUBLDIXVET-UHFFFAOYSA-N,CHEBI:16136,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-07 missing/no SDS in current set,explicit H-S-H structural depiction required; do not collapse to molecular formula,LOCK-CONNECTIVITY: PubChem CID 402 + CHEBI:16136 explicit [H][S][H] -> RDKit with explicit-H preservation
42,4ep,4-Ethylphenol,31242,123-07-9,CCC1=CC=C(C=C1)O,HXDOZKJGKXYMEW-UHFFFAOYSA-N,CHEBI:49584,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-15,none/unspecified; no wedge,LOCK: PubChem CID 31242 + CHEBI:49584 + CAS/vendor concordance -> RDKit
43,athp,"2-Acetyl-3,4,5,6-tetrahydropyridine",520300,27300-27-2,CC(=O)C1=NCCCC1,GNZWXNKZMHJXNU-UHFFFAOYSA-N,CHEBI:59533,PubChem/NIST/J-GLOBAL/CAS identity cross-check for free base 27300-27-2; vendor artwork not authoritative,WINE-P-16,"Hayashi WINE-P-16 names 2-acetyl-3,4,5,6-tetrahydropyridine; J-GLOBAL SMILES CC(=O)C1=NCCCC1 matches PubChem/ChEBI; lock imine ring form",LOCK-TAUTOMER: Hayashi WINE-P-16 exact name + J-GLOBAL/PubChem CID 520300/CHEBI:59533 SMILES CC(=O)C1=NCCCC1 -> RDKit
44,geosmin,Geosmin,29746,19700-21-1,C[C@H]1CCC[C@@]2([C@@]1(CCCC2)O)C,JLPUXFOGCDVKGO-TUAOUCFPSA-N,CHEBI:46702,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-17,"preserve natural (-)-geosmin 4S,4aS,8aR",LOCK: PubChem CID 29746 + CHEBI:46702 + CAS/vendor concordance -> RDKit
45,styrene,Styrene,7501,100-42-5,C=CC1=CC=CC=C1,PPBRXRYQALVLMV-UHFFFAOYSA-N,CHEBI:27452,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-18,none/unspecified; no wedge,LOCK: PubChem CID 7501 + CHEBI:27452 + CAS/vendor concordance -> RDKit
46,guaiacol,Guaiacol,460,90-05-1,COC1=CC=CC=C1O,LHGVFZTZFXWLCP-UHFFFAOYSA-N,CHEBI:28591,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,WINE-P-20,none/unspecified; no wedge,LOCK: PubChem CID 460 + CHEBI:28591 + CAS/vendor concordance -> RDKit
47,tca236,"2,3,6-Trichloroanisole",39656,50375-10-5,COC1=C(C=CC(=C1Cl)Cl)Cl,OTFNCXLUCRUNCH-UHFFFAOYSA-N,none located (exact ChEBI entry not found),PubChem + NIST WebBook: CAS 50375-10-5 / InChIKey concordant; no exact ChEBI entry located,BEER-01,none/unspecified; no wedge,LOCK: PubChem CID 39656 + NIST CAS/InChIKey concordance + vendor identity -> RDKit; no exact ChEBI entry located
48,3mbt,3-Methyl-2-buten-1-thiol,146586,5287-45-6,CC(=CCS)C,GYDPOKGOQFTYGW-UHFFFAOYSA-N,CHEBI:169260,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,BEER-03,no E/Z required; duplicate methyl substituents on one alkene carbon,LOCK: PubChem CID 146586 + CHEBI:169260 + CAS/vendor concordance -> RDKit
49,trans2nonenal,trans-2-Nonenal,5283335,18829-56-6,CCCCCC/C=C/C=O,BSAIUMLZVGUGKX-BQYQJAHWSA-N,CHEBI:142592,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,BEER-11,preserve E/trans,LOCK: PubChem CID 5283335 + CHEBI:142592 + CAS/vendor concordance -> RDKit
50,citronellol,Citronellol,8842,106-22-9,CC(CCC=C(C)C)CCO,QMVPMAAFGQKVCJ-UHFFFAOYSA-N,CHEBI:50462,TCI/Sigma/Fisher generic citronellol / CAS 106-22-9 concordant; enantiomer not inferred from artwork,BEER-12,Hayashi beer SDS MC-12 uses generic Citronellol + CAS 106-22-9 with no R/S designation; render stereo-unspecified (no wedge),LOCK-NO-WEDGE: PubChem CID 8842 + CHEBI:50462 + Hayashi beer SDS MC-12 CAS 106-22-9; no R/S designation -> RDKit
51,dcp26,"2,6-Dichlorophenol",6899,87-65-0,C1=CC(=C(C(=C1)Cl)O)Cl,HOLHYSJJBXSLMV-UHFFFAOYSA-N,CHEBI:28457,TCI/Sigma/Fisher-class reagent catalog identity cross-check by compound name + CAS; artwork not reused,BEER-15,none/unspecified; no wedge,LOCK: PubChem CID 6899 + CHEBI:28457 + CAS/vendor concordance -> RDKit
